system_id,area,elevation,latitude,longitude,azimuth,tilt
2,22.82,1675.0,39.7214,-105.0972,181.2,18.5
3,43.23,1675.0,39.7214,-105.0972,181.2,18.5
4,5.896,1795.3,39.7406,-105.1774,180.0,40.0
10,12.065,1792.8,39.7404,-105.1774,180.0,40.0
33,15.76,1794.0,39.7404,-105.1772,180.0,40.0
34,996.0278,620.0,36.1952,-115.1582,180.0,11.2
35,826.4911,620.0,36.1952,-115.1582,270.0,
36,,1794.7,39.704,-105.1773,180.0,45.0
50,-1.0,1994.7,39.742,-105.1727,158.0,45.0
51,-1.0,1994.7,39.7416,-105.1734,158.0,45.0
1199,366.544,325.0,39.4856,-76.6636,180.0,20.0
1200,362.162,155.0,39.1958,-76.6808,205.0,10.0
1201,959.058,18.0,39.9283,-75.0481,230.0,10.0
1202,362.162,19.0,39.9292,-75.0472,230.0,10.0
1203,1351.4,4.0,39.7325,-75.5511,205.0,20.0
1204,538.213,10.0,39.8256,-75.3828,140.0,5.0
1207,95.04,1382.0,41.7356,-111.8336,,
1208,,1780.0,39.7407,-105.1694,165.0,9.1
1214,32.343,75.0,40.995,-73.668,180.0,10.0
1216,44.787,75.0,40.995,-73.668,180.0,10.0
1217,31.451,75.0,40.995,-73.668,180.0,10.0
1218,60.235,75.0,40.995,-73.668,180.0,5.0
1219,88.452,75.0,40.995,-73.668,180.0,
1220,45.675,75.0,40.995,-73.668,180.0,
1221,,75.0,40.995,-73.668,180.0,10.0
1222,45.675,75.0,40.995,-73.668,180.0,5.0
1223,118.882,75.0,40.995,-73.668,180.0,
1224,,75.0,40.995,-73.668,180.0,10.0
1225,32.343,75.0,40.995,-73.668,180.0,10.0
1226,22.086,75.0,40.995,-73.668,180.0,10.0
1228,,75.0,40.995,-73.668,180.0,
1229,34.15,58.0,28.0392,-81.95,240.0,33.3
1230,35.147,150.0,37.6478,-121.7742,180.0,
1231,55.27,2.0,29.0258,-80.9274,270.0,20.0
1239,146.7144,197.0,46.6704,-68.0178,155.0,10.0
1244,23.28,10.0,30.0017,-90.0926,185.9,17.0
1245,20.016,10.0,29.951,-90.0812,170.0,32.0
1246,26.7713,10.0,30.0017,-90.0926,177.0,32.0
1248,75.6504,10.0,29.951,-90.0812,175.0,32.0
1249,22.3938,10.0,29.9745,-90.1563,199.0,27.0
1250,25.4955,10.0,29.951,-90.0812,178.0,33.0
1252,31.916,10.0,29.951,-90.0812,195.0,33.0
1253,57.9065,10.0,29.951,-90.0812,187.0,33.0
1254,49.764,10.0,30.0017,-90.0926,185.0,23.0
1255,23.352,10.0,29.9922,-90.0495,218.0,30.0
1256,45.6596,10.0,29.9288,-90.1273,198.0,
1257,33.5907,10.0,30.0017,-90.0926,244.0,33.3
1258,104.5044,10.0,30.0017,-90.0926,96.0,19.0
1259,41.0525,10.0,30.0017,-90.0926,,
1260,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1261,30.5946,10.0,29.9809,-90.0023,195.0,15.0
1262,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1263,28.953,10.0,29.9809,-90.0023,195.0,28.0
1264,30.5946,10.0,29.9809,-90.0023,195.0,35.0
1265,22.4274,10.0,29.9809,-90.0023,195.0,30.0
1266,22.519,10.0,29.9809,-90.0023,195.0,35.0
1267,22.519,10.0,29.9809,-90.0023,190.0,30.0
1268,28.953,10.0,29.9809,-90.0023,195.0,28.0
1269,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1270,22.519,10.0,29.9809,-90.0023,195.0,20.0
1271,30.5946,10.0,29.9809,-90.0023,195.0,28.0
1272,54.2161,10.0,29.951,-90.0812,175.0,30.0
1273,30.2602,10.0,29.9288,-90.1273,225.0,30.0
1274,29.3526,10.0,30.0017,-90.0926,180.0,15.0
1275,136.9788,10.0,29.9649,-90.069,135.0,30.0
1276,410.8104,620.0,36.1952,-115.1582,180.0,5.0
1277,275.5038,620.0,36.1952,-115.1582,180.0,10.0
1278,1163.9628,620.0,36.1952,-115.1582,180.0,
1283,2115.84,1800.0,39.7409,-105.1711,165.0,10.0
1284,8.497,1793.7,39.7405,-105.1774,180.0,40.0
1289,15.33,1793.7,39.7405,-105.1774,180.0,40.0
1294,,5.0,27.7374,-82.6311,,
1295,,5.0,27.805,-82.627,,
1296,,5.0,27.7427,-82.663,,
1297,,5.0,27.7701,-82.629,,
1298,,5.0,27.7863,-82.7379,,
1299,,5.0,27.7883,-82.6414,,
1300,,5.0,27.7701,-82.629,,
1301,,5.0,27.714,-82.6525,,
1302,,5.0,27.7743,-82.6423,,
1303,,5.0,27.7955,-82.7476,,
1304,,5.0,27.7589,-82.67,,
1305,,5.0,27.7863,-82.7379,,
1306,,5.0,27.7643,-82.6497,,
1307,,5.0,27.7936,-82.7144,,
1308,,5.0,27.8175,-82.6517,,
1309,,5.0,27.7955,-82.7476,,
1310,,5.0,27.7589,-82.67,,
1311,,5.0,27.7938,-82.7457,,
1312,,5.0,27.8,-82.6867,,
1314,,5.0,27.805,-82.627,,
1315,,5.0,27.7427,-82.663,,
1316,,5.0,27.7701,-82.629,,
1317,,5.0,27.7863,-82.7379,,
1318,,5.0,27.7883,-82.6414,,
1319,,5.0,27.7701,-82.629,,
1320,,5.0,27.714,-82.6525,,
1321,,5.0,27.7743,-82.6423,,
1322,,5.0,27.7955,-82.7476,,
1323,,5.0,27.7589,-82.67,,
1324,,5.0,27.7863,-82.7379,,
1325,,5.0,27.7643,-82.6497,,
1326,,5.0,27.7936,-82.7144,,
1328,,5.0,27.7955,-82.7476,,
1329,,5.0,27.7589,-82.67,,
1330,,5.0,27.7938,-82.7457,,
1331,,5.0,27.8,-82.6867,,
1332,5922.7534,1770.0,39.7388,-105.1732,180.0,16.77
1334,23.28,10.0,30.0017,-90.0926,185.9,17.0
1335,20.016,10.0,29.951,-90.0812,170.0,32.0
1336,26.7713,10.0,30.0017,-90.0926,177.0,32.0
1337,36.8104,10.0,29.951,-90.0812,165.0,28.0
1338,75.6504,10.0,29.951,-90.0812,175.0,32.0
1339,22.3938,10.0,29.9745,-90.1563,199.0,27.0
1340,25.4955,10.0,29.951,-90.0812,178.0,33.0
1342,31.916,10.0,29.951,-90.0812,195.0,33.0
1343,57.9065,10.0,29.951,-90.0812,187.0,33.0
1344,49.764,10.0,30.0017,-90.0926,185.0,23.0
1345,23.352,10.0,29.9922,-90.0495,218.0,30.0
1346,45.6596,10.0,29.9288,-90.1273,198.0,
1347,33.5907,10.0,30.0017,-90.0926,244.0,33.3
1348,104.5044,10.0,30.0017,-90.0926,96.0,19.0
1349,41.0525,10.0,30.0017,-90.0926,,
1350,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1351,30.5946,10.0,29.9809,-90.0023,195.0,15.0
1352,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1353,28.953,10.0,29.9809,-90.0023,195.0,28.0
1354,30.5946,10.0,29.9809,-90.0023,195.0,35.0
1355,22.4274,10.0,29.9809,-90.0023,195.0,30.0
1356,22.519,10.0,29.9809,-90.0023,195.0,35.0
1357,22.519,10.0,29.9809,-90.0023,190.0,30.0
1358,28.953,10.0,29.9809,-90.0023,195.0,28.0
1359,30.5946,10.0,29.9809,-90.0023,195.0,30.0
1360,22.519,10.0,29.9809,-90.0023,195.0,20.0
1361,30.5946,10.0,29.9809,-90.0023,195.0,28.0
1362,54.2161,10.0,29.951,-90.0812,175.0,30.0
1363,30.2602,10.0,29.9288,-90.1273,225.0,30.0
1364,29.3526,10.0,30.0017,-90.0926,180.0,15.0
1367,1698.0581,660.0,36.033,-114.9516,172.0,12.0
1368,,660.0,36.033,-114.9516,,
1369,,660.0,36.03,-114.9839,,
1403,,12.0,28.405,-80.7709,180.0,35.0
1416,,200.0,30.2672,-97.7431,180.0,10.0
1418,,779.0,36.1253,-115.2713,138.0,10.0
1419,,779.0,36.1534,-115.0256,210.0,10.0
1420,,678.0,36.1654,-115.1534,180.0,10.0
1422,,109.0,44.4665,-73.1014,180.0,35.0
1423,,697.0,36.0275,-114.9215,180.0,35.0
1429,,1658.0,35.0549,-106.5433,180.0,35.0
1430,,1831.0,39.7438,-105.1779,,
1431,,1850.0,39.9094,-105.2311,,
1432,,1780.0,39.7422,-105.1719,175.0,10.0
1433,,1780.0,39.7404,-105.1719,180.0,10.0
2045,,1764.0,39.7399,-105.1727,,
4901,,137.0,39.1385,-77.2155,90.0,5.0
4901,,137.0,39.1385,-77.2155,270.0,5.0
4902,,138.0,39.1319,-77.2141,180.0,20.0
4903,,149.0,39.1354,-77.2156,180.0,10.0
