system_id,metric_id,sensor_name,common_name,raw_units,units,calc_scale,calc_offset,calc_details,aggregation_type,source_type,source_id,comments,standard_name
2,346,dc_power,DC power,W,W,1.0,0.0,,avg,,,,dc_power__346
2,348,dc_pos_current,DC current,A,A,1.0,0.0,,avg,,,,dc_pos_current__348
2,351,das_battery_voltage,DC voltage battery,V,V,1.0,0.0,,avg,,,,das_battery_voltage__351
2,345,poa_irradiance,Irradiance POA,W/m^2,W/m^2,1.0,0.0,,avg,,,,poa_irradiance__345
2,349,module_temp_1,Temperature module,C,C,1.0,0.0,,avg,,,,module_temp_1__349
2,347,dc_pos_voltage,DC voltage,V,V,1.0,0.0,,avg,,,,dc_pos_voltage__347
2,350,das_temp,Temperature panel,C,C,1.0,0.0,,avg,,,,das_temp__350
3,353,dc_power,DC power,W,W,1.0,0.0,,avg,,,,dc_power__353
3,355,dc_pos_current,DC current,A,A,1.0,0.0,,avg,,,,dc_pos_current__355
3,358,das_battery_voltage,DC voltage battery,V,V,1.0,0.0,,avg,,,,das_battery_voltage__358
3,352,poa_irradiance,Irradiance POA,W/m^2,W/m^2,1.0,0.0,,avg,,,,poa_irradiance__352
3,356,module_temp_1,Temperature module,C,C,1.0,0.0,,avg,,,,module_temp_1__356
3,354,dc_pos_voltage,DC voltage,V,V,1.0,0.0,,avg,,,,dc_pos_voltage__354
3,357,das_temp,Temperature panel,C,C,1.0,0.0,,avg,,,,das_temp__357
4,314,dc_power,DC power,W,W,1.0,0.0,,avg,,,,dc_power__314
4,315,ac_power,AC power,W,W,1.0,0.0,,avg,,,,ac_power__315
4,319,ac_current,AC current,A,A,1.0,0.0,,avg,,,,ac_current__319
4,327,power_factor,AC other,na,na,1.0,0.0,,avg,,,,power_factor__327
4,318,ac_voltage,AC voltage,V,V,1.0,0.0,,avg,,,,ac_voltage__318
4,317,dc_pos_current,DC current,A,A,1.0,0.0,,avg,,,,dc_pos_current__317
4,326,das_battery_voltage,DC voltage battery,V,V,1.0,0.0,,avg,,,,das_battery_voltage__326
4,313,poa_irradiance,Irradiance POA,W/m^2,W/m^2,1.0,0.0,,avg,,,,poa_irradiance__313
4,320,ambient_temp,Temperature ambient,C,C,1.0,0.0,,avg,,,,ambient_temp__320
4,321,module_temp_1,Temperature module,C,C,1.0,0.0,,avg,,,,module_temp_1__321
4,322,module_temp_2,Temperature module,C,C,1.0,0.0,,avg,,,,module_temp_2__322
4,323,module_temp_3,Temperature module,C,C,1.0,0.0,,avg,,,,module_temp_3__323
