system_id,rmse,r2,gamma*temp_diff,time_since_sunrise,annual_cosinus,relative_azimuth,dhi/ghi,wind_normal_component,power_ratio,clear_sky_ratio,poa*cos_aoi,poa_irradiance_calculated,cos_aoi,dcp/area
2,402.64585621055323,0.782853950536794,2508.0,2377.0,2285.0,2236.0,1889.0,1634.0,1445.0,1326.0,1275.0,1240.0,1118.0,0.0
3,302.4870908010107,0.8528042990413047,2532.0,2167.0,2248.0,2167.0,2158.0,1857.0,1447.0,1544.0,1326.0,1061.0,1316.0,0.0
4,154.50504141201992,0.7792344721346762,3876.0,3580.0,3514.0,2624.0,3131.0,2996.0,2045.0,2289.0,1807.0,2160.0,1697.0,0.0
10,179.31159488647577,0.7931193027929524,3752.0,4379.0,3895.0,2697.0,3326.0,2970.0,1735.0,2494.0,1847.0,1943.0,1775.0,0.0
33,361.69496357535996,0.7728985958307202,3938.0,3357.0,3609.0,2701.0,3088.0,2898.0,1770.0,2185.0,1897.0,1763.0,1768.0,0.0
34,141.78661879326896,0.8565910165012343,2129.0,3547.0,2327.0,1988.0,2353.0,1738.0,1020.0,1577.0,832.0,1403.0,1076.0,0.0
1229,319.0884698118156,0.8306765734914036,2019.0,2985.0,2825.0,2201.0,2788.0,2780.0,1656.0,1658.0,1643.0,1455.0,1635.0,0.0
1276,98.75171529368933,0.8841280757928277,1442.0,2629.0,1538.0,1600.0,1753.0,1218.0,1077.0,1555.0,587.0,1544.0,802.0,0.0
1277,114.25940012778267,0.8397224643338195,1347.0,3408.0,1671.0,1772.0,1563.0,1138.0,1000.0,1567.0,545.0,1096.0,762.0,0.0
1284,226.98746342065644,0.7545106266858945,2039.0,1320.0,1657.0,1480.0,1693.0,1590.0,966.0,1296.0,1212.0,1188.0,1023.0,0.0
1289,274.57477238760316,0.7818424479239072,2991.0,2769.0,2880.0,2522.0,2703.0,2438.0,1488.0,2029.0,1627.0,1201.0,1630.0,0.0
